subject,code,name,topic,topic2,coreCSmajor,reqCSminor,eltCSminor,coreCYmajor,reqCYminor,eltCYminor,CertGD,CertCT,CertWM,unavailable,AvailFall,AvailSpring,AvailSummer,PreCourse1AND,PCAGrade1,PreCourse2AND,PCAGrade2,PreCourse3AND,PCAGrade3,PreCourse4AND,PCAGrade4,prestandings,preapproval,PreCourse1OR,PCOGrade1,PreCourse2OR,PCOGrade2,CoreCourse1
Computer Science,CS4350,Advanced Offensive Security Techniques,Cybersecurity,,,,1,,,1,,,,TRUE,,,,CS3304,D,CS4340,D,,,,,,,,,,,
Computer Science,CS4360,Host and Device Security,Cybersecurity,,,,1,,,1,,,,,O,,,CS3310,D,CS4314,D,CS4320,D,,,,,,,,,
Computer Science,CS4370,Software Security,Cybersecurity,,,,1,,,1,,,,TRUE,,,,CS2336,D,CS4320,D,,,,,,,,,,,
Computer Science,CS4371,Computer Game Development II,Game Development,Computer Game Dev,,,1,,,,4,,,,,O,,CS3371,D,,,,,,,,,,,,,
Computer Science,CS4375,Cybersecurity Risk Management,Cybersecurity,,,,1,,,,,,,TRUE,,,,CS4320,D,,,,,,,,,,,,,
Computer Science,CS4380,Ethical Issues in Software Security,Cybersecurity,Ethics,,,1,,,1,,,,TRUE,,,,,,,,,,,,,,,,,,
Computer Science,CS4381,Special Topics in Computer Science,Special Topics,,,,1,,,,,,,,O,O,O,,,,,,,,,,,,,,,
Computer Science,CS4389,Digital Forensics,Cybersecurity,Digital Forensics,,,1,,,1,,,,,,O,,CS2336,D,CS4320,D,,,,,,,,,,,
Computer Science,CS4390,Cryptography,Cybersecurity,Cryptography,,,1,1,,1,,,,,O,,,CS2336,D,MATH2305,D,,,,,,,,,,,
Computer Science,CS4392,Cloud Security,Cybersecurity,Cloud Security,,,1,,,1,,,,,,O,,CS4314,D,CS4320,D,,,,,,,,,,,
Computer Science,CS4399,Senior Design Project,Capstone,,,,1,,,,,,,,O,O,,,,,,,,,,Senior,,,,,,
Border Security,BOR3307,Introduction to Cybersecurity,Cybersecurity,,,,1,,,,,4,,,O,O,,,,,,,,,,,,,,,,
Border Security,BOR3309,Information Security and Protection,Cybersecurity,,,,1,,,,,4,,,O,O,,,,,,,,,,,,,,,,
Border Security,BOR4303,Digital Footprints,Cybersecurity,Digital Footprint,,,1,,,,,4,,,O,O,,,,,,,,,,,,,,,,
Mathematics,MATH2305,Discrete Mathematics,Discrete Math,,1,,,1,,,,,,,O,O,O,,,,,,,,,,,,,,,
Mathematics,MATH2312,Precalculus,Calculus,,1,,,1,,,,,,,O,O,O,MATH1314,D,,,,,,,,,,,,,
Mathematics,MATH1314,College Algebra,Algebra,,1,,,1,,,,,,,O,O,O,,,,,,,,,,,,,,,
